00093987-4638079   2.416180E+00 -4.663547E+01  9811 6 T1  2.349615E+01 3.770806E+01 1.1545E+01 1.855015214610E+00 4.043518937830E+03 3.142432725663E+04 2.794126195952E+03 9.824656764936E+02  2.725579211505E+04  4.519437413753E+03  1.406198918006E+04  5.948632375074E+03  4.224569875895E+03 2.715361263251E+02 8.321608942442E+02 8.758105879253E+02 8.665323641966E+02 6.872774973951E+02 7.174698712633E+02 0.000000000000E+00
00100997-0442374   2.541570E+00 -4.710460E+00  8804 6 T1  2.671398E+01 5.167931E+01 1.1371E+01 2.666074207680E+00 2.523835019637E+03 6.438479892206E+04 2.525592386889E+03 1.538577139703E+04  7.850482758352E+04  3.282195713027E+04  3.529650028852E+04  2.145942573578E+03  5.249763466734E+03 1.116142245364E+03 1.116923014230E+03 1.230221902087E+03 9.819028655749E+02 3.803003015241E+02 5.304784057694E+02 0.000000000000E+00
00104787+1451011   2.699490E+00  1.485033E+01 12572 S T1  2.693812E+01 4.145366E+01 1.1706E+01 7.360021273650E-01 1.908405154424E+03 3.534711509805E+02 2.384052503599E+01 1.007115517916E+02  6.710111912139E+02  4.350344983034E+02  6.247493835118E+02  1.406698090694E+02  1.153691375515E+02 5.870646735750E+00 1.164326227337E+01 9.295637843736E+00 1.219166664442E+01 8.721060243698E+00 9.050736018582E+00 0.000000000000E+00
00105425-2104026   2.726030E+00 -2.106745E+01  7857 6 T1  3.578675E+01 5.539690E+01 1.1122E+01 1.435802991930E+00 1.781884034739E+03 1.183748050370E+04 1.056719844470E+03 2.936808726313E+03  1.473631775891E+04  1.600030028959E+04  1.043130965596E+04  4.644638634408E+02  9.134203802677E+02 3.600244498665E+02 4.976208871868E+02 4.632036393039E+02 5.228511665114E+02 2.656719664023E+02 2.707344243234E+02 0.000000000000E+00
00110661-1206283   2.777550E+00 -1.210787E+01  5839 6 T1  4.400000E+01 5.765498E+01 1.0107E+01 1.967311564930E+00 1.816790010129E+03 1.525843837599E+05 2.788043646447E+03 3.048453481438E+03  6.188471885596E+04  1.533141738176E+04  1.286688919204E+05  4.308422262087E+04  2.317770430068E+04 6.407048161548E+02 1.490881243234E+03 1.049532763554E+03 1.637686073633E+03 1.555337776796E+03 1.275764991932E+03 0.000000000000E+00
00112166-2851158   2.840270E+00 -2.885439E+01 18593 6 T1  1.774712E+01 2.536872E+01 1.1167E+01 9.523733295890E-01 2.067307883810E+03 6.738834139733E+03 1.046553228818E+03 5.375289186702E+03  1.920668885064E+03  1.413902561952E+03  1.039740776717E+03  3.643843679935E+03  1.819151617808E+03 1.537231011082E+03 5.825271537057E+02 6.619054981428E+02 5.021334350396E+02 5.344689917595E+02 4.800598885890E+02 0.000000000000E+00
00130290-2412525   3.262120E+00 -2.421465E+01 10270 6 T1  1.691029E+01 3.431859E+01 1.1117E+01 1.471908132370E+00 1.541633118156E+03 1.257381042734E+04 1.246489277241E+03 2.513046873054E+03  1.180050378216E+04  1.751958862331E+03  7.776509970796E+03  3.366693651626E+03  2.073939846260E+03 3.332167088478E+02 6.207561796497E+02 3.934138601315E+02 6.034653710235E+02 6.112280937075E+02 5.450285801546E+02 0.000000000000E+00
00131545-4920271   3.314350E+00 -4.934082E+01  9983 6 T1  2.089756E+01 3.871930E+01 1.1089E+01 1.372199130660E+00 2.639375017579E+03 2.926902955440E+03 6.447455575749E+02 4.976581167629E+03  1.085070338048E+03  1.880813112323E+03  3.433058209535E+03  3.897118840192E+02  3.897118840192E+02 1.878269494365E+03 4.650301615573E+02 5.960125391841E+02 5.922408859028E+02 3.197414651439E+02 3.197414651439E+02 0.000000000000E+00
00145057-8659351   3.709960E+00 -8.699312E+01  5049 C T1  1.510320E+01 2.142597E+01 9.8760E+00 9.432320902530E-01 6.344492530816E+03 2.532192577067E+03 6.449405284578E+02 6.441406811127E+02  6.701746343318E+01  1.398186080584E+02  4.430237651158E+02  1.816526935220E+02  4.411374152363E+01 2.282858162645E+02 7.808976909666E+01 1.021500445724E+02 2.016005888519E+02 1.784590566349E+02 5.764711338814E+01 0.000000000000E+00
00152271-2403347   3.844500E+00 -2.405968E+01  7554 6 T1  3.866782E+01 6.872219E+01 1.1555E+01 2.195844584550E+00 1.595166245211E+03 1.022594798384E+05 1.881377171538E+03 4.841153675403E+04  2.703550640764E+05  4.405694637636E+04  9.664732015768E+04  3.927237122475E+04  2.570092990476E+04 6.715007633146E+02 1.214067035167E+03 7.385730299489E+02 9.000826897753E+02 7.745902261332E+02 6.955875120514E+02 0.000000000000E+00
00165087-0516060   4.212020E+00 -5.268300E+00  3968 6 T1  3.466116E+01 3.811025E+01 1.0626E+01 1.162771884600E+00 1.703338771891E+03 3.013210245583E+04 1.670741295920E+03 1.366110629657E+04  9.003854964215E+04  1.320566982402E+04  3.105950225163E+04  1.986530250087E+04  1.544123240144E+04 4.753397849386E+02 9.420143033007E+02 5.903902628994E+02 7.800591659031E+02 6.866350243474E+02 6.970902098526E+02 0.000000000000E+00
